barcode,energy,sodium,sugars,fat,
00170529,1681,0.700787402,0.5,33,
00172684,62,0.0276,0.1,0.5,
00173759,405,0.0787,9.2,3.5,
00174213,1291,0.11,52.8,0.8,
00174398,2666,0.0157,4,56,
00174411,2666,0.0157,4,56,
00176828,4.2,0.015748031,0.5,0.5,
00178631,2603,0,6.1,62,
00180078,1698,0.00394,99.9,0.5,
00180245,837,0,11,1,
00180269,1698,0.00394,99.9,0.5,
00180306,1695,0.00394,99.7,0.5,
00180689,1616,0.413385827,0,0.9,
00181402,282,0.0394,4.5,4,
00194822,701,0.090551181,0.5,4.7,
00195157,1330,1,2.3,11.9,
00199681,962,0.33,7,9,
00201766,638,0.236220472,2.9,8.4,
00204460,1180,0.31496063,2.7,4,
00213158,410,0.16,1.6,2.4,
00214036,544,0.07,8,4,
00226646,1060,0.34,2.2,6.9,
00239219,1263,0.295275591,2.1,9.7,
00245838,1225,0.48,1,23,
00248013,1192,0.649606299,22.6,6.2,
00259255,230,0.52,4,3,
00263290,1080,0.295275591,3.4,4,
00274036,1674,0,0,13,
00286565,837,0.03,0,0.5,
0000000290616,1213,0.85,0,12,
00306782,835,0.04,0.1,12.9,
00308151,962,0.14,12,5,
00311854,1674,0.22,23,26,
00318655,1023,0.464566929,5.6,19.2,
00319980,2544,0.007874016,5.3,0,
00322881,179,0.011811024,9.2,0.1,
00323796,700,0.05,0.9,4.7,
00335591,1242,0.0906,49.2,4.7,
00336765,1389,0.346456693,1.3,19.3,
00339469,554,0.188976378,3.7,5.2,
00348638,760,0.27,4.8,12.9,
00351546,3032,0.63,0.7,81.3,
00356398,205,0.1,11.1,0.1,
00359047,364,0.2,14.4,0.4,
00360845,586,0.38,4,6,
00363037,1704,0.00394,99,0.5,
00364317,1905,0.27,29,22.3,
00365925,418,0.16,1,2,
00373937,553,0.224409449,0.7,1.9,
00381086,377,0.11,0,9,
00385190,112,0,3.8,0.4,
00389815,293,0.1,0,4,
00393027,418,0.075,0,11,
0000000394710,2218,0.53,41,21,
00399135,502,0.236220472,2.8,0,
00403139,2090,0.8,8,24.1,
00408073,612,0.44488189,0.7,7,
00410502,2552,0.039370079,1.5,0,
00411059,2475,0.24,14.6,44.2,
418930,544,0.115,11,5,
00421577,1293,0.0787,44.5,5.1,
00421799,1293,0.0787,44.5,5.1,
00425490,282,0,4.5,4,
00426374,57,0.00787,1.3,0.5,
00428170,745,0.22,1.7,9.1,
00428415,1298,0.114,48.3,9.5,
00429733,209,0,11,0,
00430265,209,0,11,0,
00433174,139,0,2.6,1,
00440790,176,0.003937008,8.8,0.5,
00443357,0,120,0,0,
00449991,83,0,3.2,0.3,
00455183,490,0.48,0.1,2,
00457149,97,0.011811024,3.1,0.5,
00457507,650,0.27,2.3,5.3,
00459068,1460,0,0.2,1,
00459884,204,0.0394,11.3,0.1,
00469258,2080,0.228346457,35.3,24.6,
00473170,1472,0.531496063,20.5,10.9,
00473323,723,0.11,0.1,11.4,
00479455,1130,0.6,4,10,
00481724,715,0.326771654,0.1,14.2,
00485418,1085,0.78,4.9,1.6,
00486255,1024,0.433070866,1,19.7,
00490542,2494,0,6.6,48.8,
00498593,3075,0.01,0.7,82.5,
00503303,1602,0.433,1.8,26.1,
00511537,837,0,2,1,
00512947,153,0.011811024,1.4,0.9,
00513517,293,0.16,0,0.5,
00513999,586,0.075,20,2.5,
00514538,42,0.02,2,0,
00514941,795,0.33,2,15,
00516167,915,0.827,0.1,16.4,
00517805,1958,0.011811024,42.9,24.1,
00522960,1069,0.334645669,6,3.1,
00524094,920,0.27,6,1,
00524728,232,0.0394,11.8,0.1,
00529549,418,0.22,0,8,
00533904,544,0.25,7,0.5,
00535212,586,0.56,0,11,
00535366,544,0,0,14,
00538077,1720,0.64,12,8,
00540063,669,0.11,14,2.5,
00549257,544,0.13,13,5,
0555678,1562,0.386,2,28.2,
00561112,1276,0.12992126,36,3.6,
00564939,1540,0.01,60.8,0.1,
00568517,760,0.0709,2.1,19.2,
00573856,1016,0.0394,5.5,2.2,
00573924,1895,0.1,46.1,16.1,
00578561,628,0.17,8,4,
00578790,418,0.75,10,2,
00583657,188,0.039370079,7.6,0.3,
00587761,2235,0.27,22.1,31.7,
00595837,79,0.275590551,0,0.4,
00599412,669,0,3,2.5,
00607537,586,0.125,9,4,
00613385,2415,0.01,5.9,43.9,
00615068,514,0.059055118,5.3,9.2,
00620833,1460,0.1,0.1,0.9,
00629836,502,0,2,0,
00633109,669,0.68,5,4,
00635257,432,0.236220472,3.3,4.3,
0635646,859,0.385826772,3.8,7.8,
0635684,1075,0,4.4,2.6,
637730,732,0.208661417,2.8,7.7,
00639071,1293,0.0787,44.5,5.1,
00647434,475,0.26,2.6,5.2,
00652070,2003,0.188976378,33.5,29.1,
658856,558,0,0,0,
00664424,195,0.00394,10.4,0.1,
00665124,467,0.976377953,0.9,2.7,
00665636,1339,0.33,6,16,
00670258,400,0.374015748,4.8,7.2,
00671613,1500,0.039370079,1.6,1.4,
00672566,2160,0.256,15.9,27.9,
00672573,2222,0.228346457,14.3,0,
00673068,755,0.1,0,0,
0000000673358,1329,0,0,0,
00674683,320,0.188976378,1.4,1.3,
00682718,1324,0.0787,45.4,4.9,
00682848,1289,0.114,42.9,8.4,
00686792,1293,0.0787,44.5,5.1,
00702317,386,0.149606299,2,1,
00705615,1004,0,11,17,
00709606,881,1.06,0.4,14.9,
00711708,194,0.0394,10.4,0.1,
00712637,890,0.188976378,2.1,13.2,
00722070,2720,0.445,3.3,70.5,
00722728,2145,0.6,2.8,28.9,
00727297,0,0,0,0,
00733335,460,0.06,0,8,
00738064,745,1.822834646,1.4,13.6,
00741316,1910,0.287401575,18.7,14.5,
00741538,1854,0.275590551,39.8,12.4,
00742245,525,0.4,1.3,10,
00744263,30,0.06,0.9,0.2,
00744485,2037,0.177165354,28.4,20.8,
00745062,1966,0.767716535,7.7,0,
00765107,920,0.12,35,3,
00767934,2530,0.25,15.2,45.1,
00774147,167,0.13,0,4,
00774642,690,0.25,1.9,6.7,
00780117,879,0,3,10,
00786133,1213,0.11,24,17,
00788199,1787,0.039370079,52.7,0,
00788298,895,0.05,0,17.9,
00805308,1974,0.118110236,44.1,26.4,
00805834,3365,0,0,91,
00805841,3365,0,0,91,
00805872,3365,0.1,0.1,91,
00805889,570,0.1,27,0.1,
00805926,670,0.1,34,0.1,
00805933,3365,0,0,91,
00806213,3365,0,0,91,
00806404,3378,0,0,91.3,
00808804,585,0.34,1.5,6.2,
00809382,350,0.26,3.7,0.4,
00809658,715,0.31,2,11.7,
00809733,530,0.3,1.7,7.2,
00817141,460,0.015,28,0,
00818872,480,0.53,21.1,0.1,
00818919,1601,0.366141732,15.4,1.3,
00818940,1393,0.0394,80.8,0.2,
00819039,719,0.019685039,12.9,6.9,
00819077,1566,0.366141732,14.5,1.3,
00819268,1393,0.0394,80.8,0.2,
00819282,684,0,0.05,3.3,
00819367,1500,0.01,1.2,6.2,
00819541,1270,0.53,15,25.4,
00819589,625,0.69,33.7,0.1,
00819596,2613,0.354330709,1.1,68.4,
00819626,1034,0.0315,57,0.1,
00819657,1393,0.0394,80.8,0.2,
00819671,1393,0.0394,80.8,0.2,
00819701,2030,0.54,17.9,46.1,
00823692,335,0,13,0,
00828147,1242,0.0906,49.2,4.7,
00835848,665,0.236220472,3.2,14.5,
0837996,473,0.177165354,1.7,3.8,
00852067,1595,0.16,55,16.4,
00853040,1031,0.078740157,56.8,0.4,
00853118,1097,0.11023622,62.9,0.3,
00853163,1515,0.236220472,46.4,0,
00854252,105,0.035,6,0,
00854467,932,0.0591,11.7,2.2,
00854474,392,0.0591,11.7,2.2,
00859813,316,0.043307087,10.8,1.3,
00862325,335,0.34,0,7,
00863704,2425,0.36,6,60.7,
00864909,1020,0.28,1.1,20.5,
00866484,402,0.0591,10.8,3.8,
00868860,310,0.05,12.7,0.1,
00869232,180,0.039370079,2.3,0,
00875059,1480,0.03,2.4,38.2,
00875400,951,0.196850394,4.8,21.9,
00875646,1780,0,0,0,
00877855,209,0,12,0,
00878173,670,0,34,0,
00888165,985,0.34,5.3,16.3,
00888325,602,0.523622047,1.1,2.9,
00889971,1687,0.15,27.4,16,
00895651,339,0.188976378,1.3,4.4,
00895729,146,0.157480315,4.3,1.4,
00895736,280,0.2,1.4,1.7,
00897273,665,0.275590551,2.6,3.8,
00898140,887,0.275590551,2.9,0,
00899741,1063,0.267716496,3.4,0,
00901765,750,0,0,0,
00902182,124,0.0394,2.8,0.5,
00902694,21,0,0,0,
00903837,630,0.070866142,0.2,1.9,
00903882,690,0.334645669,0.1,3.2,
00905893,502,0.16,10,0,
00907897,630,0.35,29.8,0.5,
00911801,1279,0.366141732,7.3,9.2,
00912754,1937,0.031496063,12.7,0,
00913737,1565,0.070866142,7.3,0,
00913744,1632,0.005,20,10.9,
00916592,193,0.011811024,8.4,0.2,
00921398,640,0.228346457,4.9,8.6,
00923750,962,0,13,16,
00929523,711,0.04,9,13,
00929615,63,0.57,1,0,
00929806,544,0.3,0,1.5,
00931847,1046,0,6,20,
00938150,2567,0,0,0,
00939003,1308,0.0906,43.6,6.4,
00945653,175,0.19,0.8,2.6,
00946407,21,0.06,0,0,
00947794,1362,0,79,0,
00947886,1362,0,79,0,
00950763,544,0.05,11,7,
00953634,1172,0.37,1,8,
00961899,502,0.095,11,3.5,
00965835,397,0.051181102,11.4,0,
00966214,167,0.105,0,4,
00966948,544,0.2,0,7,
00968180,21,0.25,0,0,
00969451,2075,0.24015748,13.6,0,
00970396,2845,0.429,3,74.5,
00970419,2291,0.331,0.8,59.5,
00970662,586,0.27,3,8,
00973458,920,0.02,22,13,
00974110,82,0.039370079,4.1,0.1,
00974127,142,0.039370079,7.5,0.1,
00974790,260,0.0197,7.5,1.2,
00975605,209,0.005,11,0,
00975957,532,0.0394,11.2,3.2,
00978385,1531,0.019685039,3.7,0,
00981255,496,0,0,0,
00982009,105,0.115,0,2.5,
00985512,84,0.14,3,0,
00987141,377,0.16,3,1,
00988605,251,0.43,4,1,
00989671,920,0.24,0,9,
00989688,477,0.255905512,2.6,5.2,
989898,569,0.433070866,9.6,31,
0992695,1582,0.031496063,57.7,1,
0992732,1588,0.019685039,60.6,1,
00993357,1073,0.0394,56.8,0.5,
00993739,190,0.039370079,10.4,0.1,
00994835,1299,0.0394,43.1,7.3,
00994873,1354,0.0906,48,5.3,
00994897,1333,0.0906,40.3,6.4,
00994965,1004,0.005,40,6,
01019735,297,0.0591,0.5,0.5,
01043396,148,0.00394,3,0.5,
01058963,343,0.00394,0.8,0.5,
01060768,2788,0,3.5,62.1,
01062045,85,0.003937008,3.1,0.5,
01085808,92,0.00394,1.9,0.5,
01095678,36,0.00394,0.8,0.5,
1110529,2192,0.157480315,21.3,32.2,
01111323,278,0.039370079,15.4,0.5,
01111385,1292,0.579,0.5,23.7,
01117011,3090,0.00787,0.6,82.9,
01117455,112,0.0118,2.4,0.5,
1126542,2176,0.326771654,29.5,29.6,
01135459,1068,0.13,46,0.5,
01137613,267,0.039370079,4.5,3.6,
01143416,3032,0.669,0.7,81.3,
01145014,1825,0,19.6,13.6,
01147834,2089,0.37,28,24,
01149340,1159,0.701,5.2,25.6,
01150421,92,0.00394,1.9,0.4,
01151053,849,1.22,0.1,12.9,
01163605,101,0.0118,3.3,0.5,
01171969,2273,0.037,56.7,31.6,
01180992,94,0.007874016,0.9,0.5,
01189506,679,0,0.6,0.6,
01191905,1031,0.0197,55,0.5,
01199246,171,0.027559055,7.2,0.5,
01206111,500,0.0591,5.1,9.2,
01209303,943,0.051181102,0.05,14,
01210806,0,0,0,0,
01213104,1213,0.105,77,0,
01213201,0,0.035,0,0,
01214888,90,0.0315,3.1,0.5,
01214895,84,0.031496063,2.8,0.5,
01215397,195,0.346456693,6.8,0.5,
01216486,331,0.003937008,2.6,0.9,
01219487,281,0.0394,4.5,4,
01223004,150,0.03,41,0,
01223804,1151,0.590551181,0.5,21,
01225990,1619,0.708661417,0.5,32,
01228387,827,0.090551181,0,5.8,
1231234,569,0.472440945,0,2.2,
01244502,711,0.06,44,0,
01246377,176,0.00394,8.7,0.5,
01275900,0,0.105,20,0,
01302240,1288,0.13,37.1,8.1,
01302264,1288,0.13,37.1,8.1,
01322109,0,0.065,0,0,
01327793,1357,0.413,3,11.5,
01331240,2666,0,4,55.8,
01344899,1208,0.429133858,3.8,1.1,
01346400,63,0.16,4,0,
01346604,84,0.16,4,0,
01364008,84,0.16,4,0,
01369906,84,0.2,3,0,
01370300,343,0,0.8,0.5,
01372687,184,0.003937008,2.3,0.8,
01373501,84,0.16,4,0,
01379903,21,0.19,1,0,
01389609,105,0.16,5,0,
01389706,84,0.005,4,0,
01389900,84,0.19,4,0,
01393806,84,0.19,4,0,
01395406,84,0.16,5,0,
01396405,565,0.354330709,30,0,
01396502,209,1.102362205,10,0,
01406276,1184,1.082677165,0.5,24,
01409895,138,0,8.1,0.1,
01410808,2215,0.94488189,8.2,30.9,
01414437,352,0.0866,0.5,3.7,
01425587,181,0.228346457,0.7,2.1,
01441871,1326,0.350393701,2.6,27.2,
01454437,352,0.0866,0.5,5.7,
01457384,2106,0.4,37.4,24.6,
01457735,1992,0.32,30.1,18,
01466287,398,0.0512,13.1,1.7,
01469646,832,0,0,0,
01469660,856,0,0,0,
01469707,860,0,0,0,
01483246,1016,0.196850394,1.5,19,
01489187,1016,0.122,1.5,19,
01499186,1223,0.543307087,2.5,18.1,
01510294,1808,0.019685039,1.5,47.5,
01510317,1808,0.0197,1.5,47.5,
01510355,1808,0.0197,1.5,47.5,
01531053,197,0.043307087,4.6,1.6,
01535914,273,0.0118,14.8,0.5,
01578232,182,0.043307087,4.9,1,
01586008,84,0,3.1,0.3,
01587081,1178,0.0118,57.2,0.5,
01594577,1219,0.019685039,2,31.1,
01594607,676,0.0354,3,15,
01610215,1651,1.496062992,0.5,32,
01613490,1570,0.0315,2.9,40,
01613902,625,0.236,0.5,4.8,
01618419,199,0,11.8,0.1,
01633085,1130,0.08,0,22,
01642759,595,0.15,0.5,9.6,
01645613,771,0.0591,40,0.5,
01646429,1700,0.75,0.1,34.4,
01649147,18,0.031496063,0.5,0.5,
01685657,3090,0.00787,0.6,82.9,
01689570,253,0.015748031,2.2,1.2,
01692549,423,0.118,4.3,1.2,
01693980,1592,0,23.8,19.2,
01704389,1936,0.543,6.6,17.3,
01705355,1952,0.15,39.4,26.1,
01716399,971,1.515748031,0.5,13.8,
01730371,431,0.000393701,20.9,1.6,
01733051,2211,0.007874016,19,40.3,
01733624,1714,0.6,0,33,
01736083,197,0,10.9,0,
01736090,326,0.0748,2.4,7.2,
01736113,331,0.197,1.7,7.8,
01737721,1404,1.42,1.8,27,
01737974,660,0.787,0.6,7.8,
01758702,379,3.606299213,14,0.5,
01758719,1105,1.65,61,0,
01758726,495,5.07,23.2,0,
01760415,440,0.58,0.3,3,
01762949,502,0,0,14,
01780963,682,0.41,34.7,0.3,
01780970,579,0.69,29.2,0.4,
01785142,167,0.157480315,7.5,0.5,
01785623,857,0.051181102,0.5,9.5,
01785784,1766,1.948818898,0.5,32.9,
01787405,1132,0.070866142,0.5,20,
01789560,235,0.00787,11,0.5,
01789768,221,0.00394,11.2,0.5,
01798630,1103,0.582677165,0.5,20.1,
01799255,2452,0,25.3,47.4,
01800425,1541,0.063,0.9,6.6,
01800432,1278,0.102,43,4.4,
01801828,607,0,0,0,
01804331,1855,0.16,3.1,29,
01810622,460,0,0,0,
01814835,883,0.216535433,4.4,20,
01816761,1637,0,92.3,0.2,
01832457,693,1.858267717,0.7,73,
01835151,189,0.003937008,9.1,0.5,
01835335,133,0.00394,4.6,0.5,
01835366,128,0.00787,6,0.5,
01843545,485,0.460629921,8.5,6.7,
01847325,145,0,0,0,
01847758,1906,0.905511811,0.5,39.5,
01847819,1372,0.0906,0,8,
01848632,134,0.003937008,5.1,0.5,
01848885,810,0.0984,0.5,9.8,
01849240,1067,1.07480315,50.5,0.5,
01850420,745,0.0512,0.5,7.8,
01853407,278,0.003937008,15.4,0.5,
01854961,2134,0.531496063,21.9,33.3,
01879803,970,0.118110236,0.5,14.5,
01888201,2327,0,39.2,38.7,
01888577,2113,0.00394,46.1,29.6,
01888584,2145,0.114,60.2,26.5,
01889468,1505,0,0.2,0.1,
01890761,1629,0.0197,78.4,0.5,
01890778,1787,0,91.6,5.4,
01892062,2732,0,0.2,59.2,
01892277,1471,0.003937008,72.1,0.7,
01892406,590,0.114173228,1.4,0.7,
01892987,1319,0.276,2.1,7.8,
01897878,12,0.003937008,0.5,0.5,
0000001938067,1632,0.382,37,16,
02017887,308,0.003937008,15.3,0.4,
2020187,1933,0.08,22,17,
2029366,1396,0.71,0.4,30.39,
02083214,335,0.47,1,4,
02448767,407,0.051181102,14.2,2.6,
02502108,669,0.02,40,0,
02502409,669,0,33,0,
02505008,377,0.015,19,0,
02511328,502,0.07,1,0.5,
02520609,418,0.015,22,0,
2601148,335,0.005,18,0.1,
2602009,91,0.002755906,1.03,0,
2643050,201,0.342519685,3.2,0.1,
03010303,1279,0.118,42.9,5.2,
03032732,1240,0.0394,42.9,7.6,
03041314,84,0,3.1,0.3,
03077601,418,0.09,7,3,
03201985,815,0,0.5,19.5,
03230916,146,0,0.3,0.3,
03231296,122,0,4.5,0.3,
03232064,519,0.196850394,1.9,5.5,
03232149,264,0.0394,2,3.8,
03233016,378,0.669291339,9.8,3.3,
03234136,154,0.0394,3.3,0.6,
03234761,107,0.118,1.1,0.8,
03242759,134,0.0394,4.1,0.3,
03246252,210,0.078740157,5.1,2.1,
03248461,346,0.039370079,0.6,0.2,
03248515,816,0.197,8.2,5.5,
03248980,422,0.31496063,0.1,0.6,
03249017,422,0.31496063,0.1,0.6,
03254295,1456,0.394,0.7,30.7,
03265123,360,0.039370079,2.9,4.7,
03265901,40,0.078740157,0.9,0.2,
03277924,3700,0,0,100,
03406106,377,0.015,19,0,
03424005,879,0.035,24,13,
03424607,879,0.03,21,11,
03424801,879,0.06,22,10,
03431209,418,0.015,20,0,
03431801,418,0.01,24,0,
03444009,879,0.15,21,13,
03448005,1674,0.3,39,24,
03989951,1525,0.003937008,3.2,1.5,
04003100,962,0.035,31,9,
04003207,1046,0.025,25,13,
04014407,2008,0.748031496,44,0,
04048121,2350,0.0394,2,41,
04142218,82.5,0,0,0.02,
04148623,2322,0.03,45.8,34.9,
04154891,126,0.18,0,2.5,
04158019,2273,0,0,31.6,
04393618,1022,0,59,0.1,
04612449,1618,0.62992126,0,28,
04803805,2151,0.169291339,30,25,
04886556,154,0.315,6.1,0.2,
04904403,1004,0.075,65,0,
04904500,0,0.07,0,0,
04913207,586,0.065,38,0,
04930259,1700,0.005,65.4,6.2,
04963406,586,0.045,39,0,
04965802,0,0.04,0,0,
04997704,0,0,0,0,
04998606,586,0.045,39,0,
05026012,359,0.066,13.3,0.3,
05160434,21,0.065,1,0,
05291311,490,0.05,15.2,3.7,
05505607,88,0.34,0.1,0.1,
05577042,1841,0.196850394,19.2,0,
05784015,2010,0.196850394,27,20.3,
6178521,60,0.007874016,0.5,0.3,
06215718,167,0.014,10,0,
06224017,544,0.019685039,32,0,
06326605,460,0.15,10,0,
06383350,188,0.25,1,4.5,
06401612,460,0.19,3,0,
06684150,1321,0.1,37.9,6.2,
06742708,188,0.011,12,0,
06792800,0,0.04,0,0,
06870973,251,0.15,7,2.5,
06942508,628,0.015,41,0,
07173404,628,0.085,39,0,
07199044,427,0,0,0,
07283244,1603,0.14,0.4,21,
07478545,0,0,0,0,
07832309,3,0.055,0.1,0,
07866500,586,0.236220472,38,0,
08004202,2343,0.114173228,45,35,
08014283,2273,0.037,56.7,31.6,
08066242,414,0,0,0,
08112133,1634,0.590551181,0,29,
08155368,879,0.03,41,0,
0000008240095,1176,0.453,0,16,
08281388,418,0.025,24,0,
08286121,151,0.003937008,8.7,0,
08406615,190,0.007874016,10.5,0,
08456717,1139,0,67,0,
08496247,414,0,0,0,
08510703,1566,0.669,0.1,35.2,
08542746,1450,0,82.1,0.4,
08640312,188,0.27,1.8,1.1,
08669932,251,0.18,0,1.5,
08748001,586,0.25,0,5,
08770000,502,0.015,28,0,
08772350,2310,0.0984,47.5,34.5,
08829401,251,0.08,0,1,
08958860,1411,0.01,68,0.5,
09009738,539,0.591,0.1,2.8,
9154377,22,0.393700787,0.5,0.5,
09705760,627,0.32,1.8,7.5,
10005382,2304,0.07,24,31,
10009833,148,0.0394,3,0.3,
10023297,133,0,4,0.4,
10023594,1534,0.3,3.5,3,
10024899,167,0,0,0,
10026892,345,0.003937008,0.8,0.1,
10061282,1323,0.433070866,0.6,27.2,
10069523,59,0.039370079,1.9,0.2,
10098103,84,0.039370079,3.1,0.3,
10098479,83,0,3.2,0.3,
10099889,670,0.236,3.6,7.6,
10100200,1925,0.12,0,12,
10110195,88,0,1.6,0.6,
10110393,72,0,1.7,0.5,
10110508,146,0,0.3,0.3,
10111017,72,0.00394,1.7,0.5,
10112625,98,0,3.2,0.3,
10115350,1845,0.511811024,2.4,47.1,
10190803,456,0.393700787,0,1,
10201456,186,0.003937008,9.1,0.1,
10213688,1490,0.039370079,60,2.1,
10417970,2108,0.897637795,8,31.2,
10603069,1292,0.007874016,2,1.1,
10744204,231.4,0.00283,13.1,0.2,
10908767,1716,0.216535433,16.5,6.7,
11006078,753,0.118110236,23.3,6,
11019091,2378,0.035433071,57.9,36.2,
11062413,1537,0,0.5,2.6,
11076156,173,0.003937008,5.6,0.2,
11113897,407,0,0,0.1,
11114188,693,0.854,0.7,7.3,
11117787,617,0.295275591,7,2.6,
11117897,272,0.13,2.8,0.8,
11122087,1967,0.023622047,29.7,31.8,
11218788,837,0,0,1.5,
11220867,327,0.748031496,0,0.8,
11254607,1600,0.23,78,3.1,
11432631,1519,0.354330709,6.1,20,
11510897,142,0.452,1,0.5,
11681649,1928,0,57.3,15.2,
11712374,670,0.236,3.6,7.6,
11717231,1433,0,1.5,1.3,
11829730,75,0.068503937,0.18,0.5,
11888560,2200,0.0748,63.1,27.7,
11914067,2298,0.472440945,0.5,34.9,
12100867,1248,1.377952756,1,25,
12108867,1312,0.866141732,0,23.9,
12110767,1062,0.393700787,0.5,19,
12112788,3002,0.708661417,0.7,80.5,
12142247,1180,1.57480315,0,25,
12154172,1008,0.562992126,3.5,9.5,
12168989,178,0.039370079,4.3,1,
12207442,286,0.13,4.8,3.5,
12221878,2690,0.169291339,3.8,55.5,
12312334,1550,0.041,2.8,2.7,
12361175,444,0.02,24,0.4,
12727292,210,0.059055118,0.5,4.8,
12822874,455,0.31,1,3.5,
12921734,2800,0.62992126,1,73,
13110707,1632,0.492125984,2.5,0,
14101885,251,0,13.1,0,
14119309,2736,0,0,56,
14144888,84,0,0,1,
14239843,80,0.015748031,4.4,0,
16101007,423,0.027559055,0,2.9,
16374669,1776,1.023622047,2,44,
16939545,2268,0,27,39.3,
17231527,1181,0,0,0.6,
17470469,1775,0.1,0,10.2,
17832274,1720,0.669291339,1.4,45,
19127867,2365,0.003937008,27,42,
19251361,1200,0.748031496,4.5,30,
19270010,1386,0.003937008,81.5,0.1,
20000165,970,0.011811024,31.3,0.3,
20000233,2362,0.003937008,37.9,39.6,
20000332,0,0,0,0,
20000370,0,0,0,0,
20000639,1014,0.003937008,51,0.1,
20000646,1018,0.01,51,0.1,
20000653,983,0.007874016,52,0.2,
20000660,1040,0.01,55,0.3,
20000684,1006,0.01,52,0.1,
20000691,949,0.007874016,51,0.2,
20000707,263,0.070866142,6.4,1.5,
20000776,1034,0.01,57,0.1,
20000837,1012,0.01,53,0.1,
20000882,990,0.007874016,52,0.3,
20001094,527,0,0,0.2,
20001216,1610,0.27,28.8,2.1,
20001223,1654,0.590551181,0,29,
20001261,1428,0.1,49.6,0,
20001308,1394,0.078740157,29.6,21,
20001483,604,0.511811024,0.6,4.5,
20001506,418,0.393700787,0.3,1.4,
20001674,956,0.543307087,5.7,8.2,
20001678,956,0.543307087,5.7,8.2,
20001797,764,0.3,1.2,7.7,
20001810,450,0.307086614,0.6,6.3,
20001827,314,0.1,0,0.8,
20001841,847,0.440944882,0.8,1.3,
20001865,904,0.098425197,0,15,
20001889,242,0.45,0,0.9,
20001902,1207,0.031496063,3.2,30,
20001926,293,0.031496063,3,30,
20001933,285,0.039370079,4.3,0.2,
20001940,427,0.039370079,4.3,4.5,
